Spanish Gloss,English Gloss,Categoría gramatical
ALTO,TALL,Adjetivo
BEBÉ,BABY,Sustantivo
CASA,HOUSE,Sustantivo
PLATANO,BANANA,Sustantivo
TORTUGA,TURTLE,Sustantivo
CRECER,GROW,Verbo
FUMAR,SMOKE,Verbo
GUSANO,WORM,Sustantivo
PEZ,FISH,Sustantivo
RELOJ,CLOCK,Sustantivo
VOLEY,VOLEYBALL,Sustantivo
SENTARSE,SIT,Verbo
SHAMPOO,SHAMPOO,Sustantivo
TÉ,TEA,Sustantivo
BASQUET,BASKETBALL,Sustantivo
GATO,CAT,Sustantivo
ÁRBOL,TREE,Sustantivo
HELADO,ICE CREAM,Sustantivo
MESA,TABLE,Sustantivo
NACER,BE BORN,Verbo
GELATINA,JELLY,Sustantivo
ROMPER,BREAK,Verbo
BEBER,DRINK,Verbo
DIBUJAR,DRAW,Verbo
MANZANA,APPLE,Sustantivo
COMER,EAT,Verbo
FLACO,SKINNY,Adjetivo
CAMA,BED,Sustantivo
POLICÍA,POLICE,Sustantivo
MAR,SEA,Sustantivo
SACERDOTE,PRIEST,Sustantivo
VER,SEE,Verbo
ABRIGARSE,WRAP UP,Verbo
COCINAR,TO-COOK,Verbo
ELEFANTE,ELEPHANT,Sustantivo
LLOVER,TO RAIN,Verbo
INYECCIÓN-VACUNA,INJECTION-VACCINE,Sustantivo
LIMÓN,LEMON,Sustantivo
PEINARSE,COMB HAIR,Verbo
REÍR,LAUGH,Verbo
MONO,MONKEY,Sustantivo
POLLO,CHICKEN,Sustantivo
LEER,READ,Verbo
OVEJA,SHEEP,Sustantivo
FUEGO,FIRE,Sustantivo
GORDO,FAT,Adjetivo
MOCHILA,BACKPACK,Sustantivo
PAN,BREAD,Sustantivo
RUBORIZARSE,TO-BLUSH,Verbo
CONEJO,RABBIT,Sustantivo
SALSA,SAUCE,Sustantivo
INSECTO-VOLADOR,FLYING-INSECT,Sustantivo
HILO,THREAD,Sustantivo
FRUTA-ESFÉRICA,SPHERICAL-FRUIT,Sustantivo
PELOTA,BALL,Sustantivo
JARRÓN,VASE,Sustantivo
COLUMNA,COLUMN,Sustantivo
PERILLA,KNOB,Sustantivo
VASO,GLASS,Sustantivo
BOTELLA,BOTTLE,Sustantivo
TELESCOPIO,TELESCOPE,Sustantivo
CAJA,BOX,Sustantivo
CLAQUETA,CLAPPERBOARD,Sustantivo
CLAVAR,NAIL,Verbo
BOLSA,BAG,Sustantivo
PUERTA,DOOR,Sustantivo
PALO,STICK,Sustantivo
SOGA,ROPE,Sustantivo
SARTÉN,PAN,Sustantivo
BILLETE,BILL,Sustantivo
PERIÓDICO,NEWSPAPER,Sustantivo
SUJETAR-DE-AVE,BIRD-HOLDING,Verbo
CUCHARA,SPOON,Sustantivo
MANCHAS,STAINS,Sustantivo
LLAVES,KEYS,Sustantivo
FRANJAS,STRIPES,Sustantivo
CAMINAR,WALK,Verbo
LIBRO,BOOK,Sustantivo
ESPEJO,MIRROR,Sustantivo
NADAR,SWIM,Verbo
TRAMPOLIN,TRAMPOLINE,Sustantivo
TECHO,CEILING,Sustantivo
CAMINO,PATH,Sustantivo
CEPILLO,BRUSH,Sustantivo
LAPICERO,PEN,Sustantivo
PERSONA,PERSON,Sustantivo
CUCHILLO,KNIFE,Sustantivo
SKATEBOARD,SKATEBOARD,Sustantivo
VEHÍCULO,VEHICLE,Sustantivo
REVOLVER,REVOLVER,Sustantivo
CEJA,EYEBROW,Sustantivo
GARFIJO,HOOK,Sustantivo
JALAR,PULL,Verbo
LENTES,GLASSES,Sustantivo
GRUPO,GROUP,Sustantivo
CHEQUE,CHECK,Sustantivo
PAPEL-PEQUEÑO,SMALL-PAPER,Sustantivo
AVIÓN,PLANE,Sustantivo
ATERRIZAR,LAND,Verbo
AEROPUERTO,AIRPORT,Sustantivo
